
------------------------------------------------------------------------------------------
Tm       Tk       Tn       threads  2304*768   768*3072   3072*768   768*768    overall
------------------------------------------------------------------------------------------
8        1024     64       32       0.001400   0.000871   0.001813   0.000519   0.004603  
8        1024     64       32       0.001312   0.000816   0.001756   0.000517   0.004401  
8        1024     32       32       0.001363   0.000940   0.001727   0.000527   0.004557  
8        1024     32       32       0.001366   0.000958   0.001775   0.000589   0.004688  
8        512      32       32       0.001394   0.001066   0.001799   0.000585   0.004843  
8        1024     32       32       0.001338   0.000931   0.001686   0.000736   0.004691  
8        1024     32       32       0.001325   0.001009   0.001820   0.000544   0.004699  
8        1024     32       32       0.001348   0.000946   0.001755   0.000737   0.004785  
16       1024     32       32       0.001321   0.001244   0.001690   0.000780   0.005035  
16       1024     32       32       0.001406   0.001180   0.001794   0.000541   0.004921  
16       512      64       32       0.001498   0.000896   0.001897   0.000647   0.004938  
16       1024     64       32       0.001351   0.001104   0.001798   0.000528   0.004781  
16       1024     32       64       0.001367   0.000863   0.001772   0.000589   0.004591  
16       512      64       64       0.001507   0.000801   0.002000   0.000608   0.004916  
16       1024     64       32       0.001479   0.000870   0.001846   0.000550   0.004746  
16       1024     64       32       0.001474   0.000822   0.001932   0.000546   0.004775  
16       1024     32       32       0.001398   0.001044   0.001655   0.000529   0.004626  
32       1024     32       32       0.001364   0.000957   0.001734   0.000536   0.004591  
32       1024     32       32       0.001321   0.000943   0.001750   0.000519   0.004532  
32       512      64       32       0.001377   0.000884   0.001822   0.000533   0.004616  
32       512      64       32       0.001390   0.000912   0.001781   0.000561   0.004644  
32       1024     32       32       0.001424   0.000943   0.001698   0.000775   0.004839  

------------------------------------------------------------------------------------------
M         K        N     tile_m   tile_k   tile_n   threads   time
------------------------------------------------------------------------------------------
197      768     3072      16     1024       64       32    0.000836
197      768     3072      32      256       64       64    0.000761
197      768      768      32       1024     32       32       0.000550  
197      768      768      16       1024     32       32       0.000550  
197      2304     768      64       1024     32       32       0.001306  

197      2304     768      64       1024     32       32       0.001348  
197      2304     768      32       1024     32       64       0.001411  
197      2304     768      32       1024     32       32       0.001316  
197      2304     768      64       1024     64       32       0.001327  
197      768      3072     64       1024     64       32       0.001442  
197      768      768      32       1024     32       32       0.000586  
197      768      768      64       1024     32       32       0.000603  
197      768      768      32       1024     32       64       0.000630  
197      768      768      16       1024     32       64       0.000609  
197      2304     768      64       1024     32       64       0.001841  
197      2304     768      32       1024     32       64       0.001866  
